,총인구수,세대수,남자 인구수,여자 인구수,남여 비율
제주특별자치도  (5000000000),674620,308632,337767,336853,1
제주특별자치도 제주시 (5011000000),490735,220573,245148,245587,1
제주특별자치도 서귀포시 (5013000000),183885,88059,92619,91266,1.01
